capabilityId,apiName,getter,setter,source,gdnUrl,applyMode,restoreStrategy,status,notes
shadow-quality,setShadowQuality,getShadowQuality,setShadowQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found. Also uses getHasShadowFocusBox in reader.
max-num-shadow-lights,setMaxNumShadowLights,getMaxNumShadowLights,setMaxNumShadowLights,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
shadow-distance-quality,setShadowDistanceQuality,getShadowDistanceQuality,setShadowDistanceQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
shadow-filter-quality,setShadowFilterQuality,getShadowFilterQuality,setShadowFilterQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found. Soft-shadows UI maps here.
shadow-map-filter-size,setShadowMapFilterSize,getShadowMapFilterSize,setShadowMapFilterSize,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
ssr-quality,setScreenSpaceReflectionsQuality,getScreenSpaceReflectionsQuality,setScreenSpaceReflectionsQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set. getSupportsScreenSpaceReflectionsQuality.
atmosphere-quality,setAtmosphereQuality,getAtmosphereQuality,setAtmosphereQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set. getSupportsAtmosphereQuality.
drs-quality,setDRSQuality,getDRSQuality,setDRSQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,GATED,Paired getSupports* in SettingsModel:addManagedSettings; gate before set. getSupportsDRSQuality.
terrain-quality,setTerrainQuality,getTerrainQuality,setTerrainQuality,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,RESTART,YES,CONFIRMED,"Comment on addTerrainQualitySetting: ""restart needed to use correct shader cache""."
view-distance-coeff,setViewDistanceCoeff,getViewDistanceCoeff,setViewDistanceCoeff,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found. Used by addObjectDrawDistanceSetting.
lod-distance-coeff,setLODDistanceCoeff,getLODDistanceCoeff,setLODDistanceCoeff,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
foliage-view-distance-coeff,setFoliageViewDistanceCoeff,getFoliageViewDistanceCoeff,setFoliageViewDistanceCoeff,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
foliage-lod-distance-coeff,setFoliageLODDistanceCoeff,getFoliageLODDistanceCoeff,setFoliageLODDistanceCoeff,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
terrain-lod-distance-coeff,setTerrainLODDistanceCoeff,getTerrainLODDistanceCoeff,setTerrainLODDistanceCoeff,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found.
allow-foliage-shadows,setAllowFoliageShadows,getAllowFoliageShadows,setAllowFoliageShadows,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Exact symbol in SettingsModel LuaDoc source (FS25 v1.20.0.0); no dedicated Engine function page found. Not listed under Engine Foliage category 6.
apply-performance-class,SettingsModel:applyPerformanceClass,NONE,SettingsModel:applyPerformanceClass,SettingsModel,https://gdn.giants-software.com/documentation_scripting_fs25.php?version=script&category=43&class=486,UNKNOWN,YES,CONFIRMED,Writes PERFORMANCE_CLASS via settingWriters; refreshes changed values.
